Cap_Diameter	Cap_Shape	Cap_Surface	Cap_Color	Bruises_or_Bleeds	Gill_Attachment	Gill_Spacing	Gill_Color	Stem_Height	Stem_Width	Stem_Root	Ring_Type	Habitat	Class
8.31	x	d	y	TRUE	p	NA	y	7.42	14.74	NA	f	d	e
0.7	x	g	o	FALSE	NA	NA	y	3.54	0.79	NA	f	d	p
7.83	o	e	o	FALSE	NA	c	y	1.54	15.2	NA	f	d	p
5.35	c	NA	n	FALSE	f	f	f	4.99	18.36	NA	f	l	e
NA	x	h	n	FALSE	e	NA	w	13.14	13	NA	f	d	e
11.07	x	h	y	FALSE	s	NA	p	7.92	17.75	NA	f	d	p
5.97	b	y	g	FALSE	NA	NA	p	10.57	12.15	NA	z	g	p
NA	f	g	g	FALSE	a	d	g	4.22	3.11	NA	f	d	e
NA	s	t	r	TRUE	d	NA	w	4.64	12.64	NA	f	d	p
0.81	x	g	y	FALSE	NA	NA	y	3.75	0.82	NA	f	d	p
2.05	o	NA	w	FALSE	f	f	f	4.25	22.13	NA	f	d	p
3.65	b	y	n	FALSE	NA	c	u	6.26	4.46	s	f	d	p
17.97	s	s	n	FALSE	d	c	y	4.48	29.07	NA	f	d	p
5.09	f	g	g	FALSE	a	d	g	5.5	3.19	NA	f	d	e
5.73	x	y	n	FALSE	e	c	p	5.31	10.51	NA	f	d	e
7.88	x	s	r	TRUE	s	d	r	5.58	15.29	r	f	d	p
7.25	x	h	e	FALSE	x	d	w	5.76	16.78	b	f	d	p
NA	s	d	p	TRUE	d	c	p	4.22	6	NA	f	d	e
NA	s	d	n	TRUE	d	c	y	5.46	7.42	NA	f	d	p
8.01	x	e	l	FALSE	x	c	w	8.16	22.92	NA	f	d	e
3.08	b	NA	g	FALSE	a	NA	k	9.25	2.6	NA	f	g	p
8.95	x	s	n	FALSE	e	c	w	6.8	9.89	NA	f	d	e
10.43	x	i	n	FALSE	a	NA	n	11.34	16.43	s	f	d	p
9.32	f	s	w	FALSE	s	c	w	7.86	32.37	NA	f	d	e
9.74	f	NA	w	FALSE	d	c	w	2.59	14.27	NA	f	d	e
12.95	x	NA	g	FALSE	e	NA	w	11.25	14.45	NA	g	d	p
11.95	s	t	p	TRUE	d	c	o	6.36	17.56	NA	f	d	e
11.9	x	t	n	FALSE	a	d	w	10.69	31.64	NA	f	d	p
1.73	x	g	y	FALSE	d	d	n	2.58	2.81	NA	f	d	p
1.02	b	t	n	FALSE	NA	c	g	3.89	2.51	NA	f	g	p
3.15	x	i	e	FALSE	NA	NA	e	4.37	5.93	NA	f	d	p
9.43	f	s	e	FALSE	d	d	w	8.1	12.98	NA	NA	d	e
3.7	f	d	u	TRUE	d	c	p	4.52	6.82	NA	f	d	e
NA	f	h	e	FALSE	e	NA	w	17.87	17.93	s	p	d	p
6.58	b	t	w	FALSE	e	c	w	12.51	11.89	NA	l	d	p
11	f	e	n	FALSE	NA	c	b	5.19	22.49	NA	f	d	e
7.67	x	NA	w	FALSE	x	c	w	8.97	9.82	r	f	h	p
8.91	f	y	y	FALSE	s	c	y	7.21	17.06	NA	f	d	p
2.49	x	g	n	FALSE	a	NA	w	6.66	2.47	NA	f	d	p
9.49	x	t	n	FALSE	a	d	w	9.89	30.94	NA	f	d	p
0.82	x	g	p	FALSE	a	NA	n	3.88	1.06	NA	f	d	p
14.08	f	t	r	TRUE	d	c	y	4.98	28.66	NA	f	d	p
6.21	x	NA	n	FALSE	d	c	y	5.27	9.71	b	f	l	p
1.61	x	g	y	FALSE	d	d	n	2.11	2.51	NA	f	h	p
8.34	b	t	w	FALSE	e	c	w	13.28	12.45	NA	l	d	p
6.41	x	NA	n	TRUE	p	NA	g	10.85	23.38	NA	f	d	e
NA	s	w	y	FALSE	f	f	f	4.87	13.59	NA	f	d	e
4.07	x	h	l	FALSE	s	c	n	5.61	6.56	NA	e	g	p
7.14	x	s	g	TRUE	s	d	y	6.1	17.11	r	f	d	p
14.79	x	s	w	TRUE	e	NA	n	12.91	17.28	s	r	m	e
6.75	f	h	e	FALSE	x	NA	w	16.71	7.1	r	f	d	p
1.49	b	NA	n	FALSE	a	NA	g	5.32	2.01	NA	f	d	p
6.83	s	NA	n	FALSE	l	c	g	6.03	19.02	NA	f	d	e
1.41	o	k	n	FALSE	NA	NA	n	2.76	1.54	NA	f	d	p
9.12	p	i	n	TRUE	e	NA	p	9.05	17.28	NA	p	d	e
11.11	f	NA	w	FALSE	d	c	y	2.46	14.49	NA	f	d	e
10.75	x	e	n	TRUE	p	NA	o	8.07	27.8	NA	f	d	p
NA	x	NA	b	FALSE	NA	d	u	5.52	5.28	NA	f	d	e
7.98	b	y	n	FALSE	NA	NA	k	15.14	17.27	NA	f	d	p
7.95	x	h	e	FALSE	x	d	w	5.97	17.52	b	f	d	p
NA	f	NA	n	FALSE	x	c	p	7.69	4.24	NA	f	d	p
8.31	x	e	e	FALSE	a	NA	k	8.27	10.72	NA	z	d	p
13.53	p	s	w	TRUE	e	NA	n	11.2	17.57	s	l	m	e
7.95	s	t	p	TRUE	d	c	p	7.98	13.96	NA	f	d	p
10.1	p	NA	n	FALSE	p	NA	w	10.71	28.15	c	f	d	p
4.16	x	s	y	FALSE	a	c	y	5.51	6.65	NA	f	g	p
13.26	f	s	n	TRUE	e	NA	g	10.09	17.93	s	l	m	e
8.14	x	e	y	FALSE	a	NA	o	13.42	18.16	r	r	d	p
9.3	x	s	n	TRUE	p	NA	y	7.65	18.11	NA	p	d	e
3.41	f	d	n	TRUE	d	c	w	4.78	7.23	NA	f	d	p
NA	x	d	w	FALSE	a	d	p	3.76	2.51	NA	f	g	p
4.19	o	l	n	FALSE	f	f	f	5.22	41.22	NA	f	d	e
NA	f	g	n	FALSE	a	NA	w	7.07	2.7	NA	f	d	p
6.66	p	y	g	FALSE	NA	NA	k	13.7	17.13	NA	f	d	p
6.57	p	NA	n	FALSE	f	f	f	6.55	21.15	NA	f	l	e
10.86	x	t	n	FALSE	a	d	w	10.55	24.2	NA	f	d	p
7.91	f	t	e	FALSE	x	d	w	5.68	18.12	b	f	d	p
8.44	x	NA	n	FALSE	e	NA	w	7.98	15.98	NA	p	d	p
3.04	b	y	n	FALSE	NA	c	k	6.23	2.55	NA	f	d	e
9.71	p	i	n	TRUE	e	NA	p	9.05	19.33	NA	p	l	e
14.26	x	k	w	TRUE	d	d	n	7.31	32.04	NA	f	d	p
6.89	x	s	b	FALSE	x	c	w	5.78	10.16	NA	f	l	e
8.23	x	s	k	FALSE	a	c	w	3.49	13.22	NA	f	d	e
5.03	c	i	y	FALSE	NA	c	r	6.1	7.92	NA	f	d	p
4.16	o	NA	w	FALSE	f	f	f	5.37	29.97	NA	f	d	p
3.92	b	h	n	FALSE	NA	NA	k	10.76	5.92	NA	NA	g	p
1.4	b	h	n	FALSE	a	NA	n	4.49	1.57	NA	f	g	p
4.43	o	NA	w	FALSE	f	f	f	5.52	27.48	NA	f	p	p
6.33	b	t	w	FALSE	e	c	w	10.91	10.12	NA	l	d	p
9.4	f	NA	g	FALSE	s	c	b	7.34	18.93	NA	f	d	e
3.05	x	d	w	FALSE	d	d	p	3.62	2.44	NA	f	g	p
3.54	x	h	p	FALSE	a	c	o	4.48	6.33	NA	f	m	e
5.28	x	s	b	FALSE	x	NA	n	6.12	8.4	NA	f	d	e
1.53	b	h	n	FALSE	a	NA	n	4.56	1.47	NA	f	g	p
7.41	x	t	y	FALSE	p	NA	y	7.83	15.98	NA	NA	d	e
3.62	x	i	e	FALSE	NA	NA	e	4.43	5.39	NA	f	d	p
3.07	b	NA	n	FALSE	a	NA	k	8.45	2.38	NA	f	g	p
8.53	f	NA	r	FALSE	x	c	y	6.35	10.66	NA	f	d	p
NA	f	t	k	FALSE	a	d	y	5.94	21.63	NA	f	d	e
7.43	x	y	w	TRUE	NA	NA	p	8.49	15.7	NA	l	d	p
7.07	f	s	w	FALSE	e	c	w	20.44	12.91	NA	e	u	e
3.15	c	NA	u	FALSE	a	c	w	3.92	3.55	NA	f	p	p
8.03	f	y	w	FALSE	e	c	w	14	11.99	NA	e	d	e
13.63	f	h	e	FALSE	e	NA	w	16.77	17.93	s	g	d	p
8.15	s	NA	n	FALSE	s	c	g	7.59	19.87	b	f	d	e
2.3	c	h	n	FALSE	NA	NA	y	7.95	2.97	NA	f	g	p
NA	x	NA	n	FALSE	x	c	n	6.76	7.63	NA	NA	d	e
6.1	x	h	n	FALSE	x	c	n	5.92	6.61	NA	r	d	e
0.82	x	g	e	TRUE	a	NA	p	4.74	0.98	NA	f	h	e
7.75	b	t	w	FALSE	e	c	w	12.08	11.83	NA	l	d	p
1.64	x	s	n	FALSE	d	NA	w	6.06	1.94	NA	f	h	e
20.55	f	s	n	FALSE	p	NA	y	7.26	46.38	NA	f	d	p
9.54	x	NA	n	FALSE	e	NA	w	10.67	17.44	NA	e	d	p
3.38	f	NA	n	FALSE	x	c	p	8.55	3.98	NA	f	d	p
3.17	x	NA	n	FALSE	a	NA	k	8.5	2.49	NA	f	g	p
6.23	f	NA	n	FALSE	d	c	y	5.54	10.24	b	f	d	p
1.04	b	g	g	FALSE	NA	NA	g	3.05	1.54	NA	f	d	e
7.77	x	t	n	FALSE	p	d	y	7.28	12.85	NA	f	h	e
7.83	b	y	n	FALSE	NA	NA	k	12.86	16.78	NA	f	d	p
0.94	b	t	n	FALSE	NA	c	g	3.03	2.34	NA	f	m	p
7.27	s	t	n	TRUE	d	NA	g	4.61	12.62	NA	f	d	p
6.4	s	NA	n	FALSE	d	c	w	4.53	8.1	NA	f	l	e
3.88	x	t	n	FALSE	s	c	n	6.15	8.21	NA	z	d	p
12.11	f	s	w	TRUE	e	NA	n	9.82	17.54	s	r	m	e
6.51	p	NA	n	FALSE	a	NA	w	8.74	13.01	NA	f	g	p
1.3	f	s	y	FALSE	f	f	f	3.64	5.82	NA	f	d	p
0.53	x	g	y	FALSE	NA	NA	y	3.46	0.75	NA	f	d	p
1.22	c	g	n	TRUE	a	NA	w	5.2	1.01	NA	f	h	e
1.2	b	y	n	FALSE	NA	c	g	4.88	2.5	NA	f	d	e
5.82	o	NA	g	FALSE	f	f	f	4.94	19.91	NA	f	l	e
5.66	x	h	n	FALSE	e	NA	w	11.77	12.01	NA	f	d	e
11.94	x	NA	n	FALSE	e	NA	w	10.78	14.69	NA	g	d	p
3.54	f	d	b	FALSE	x	c	y	4.26	3.33	b	f	l	p
6.34	f	s	g	TRUE	s	d	r	5.51	14.51	r	f	d	p
6.95	s	l	w	FALSE	d	NA	w	3.64	10.25	NA	f	d	e
1.2	p	g	w	FALSE	NA	NA	g	3.22	1.52	NA	f	d	e
3.66	f	d	p	TRUE	d	c	p	4.67	6.7	NA	f	d	e
5.22	x	h	y	FALSE	a	c	y	6.43	8.7	NA	f	g	p
8.32	x	t	y	FALSE	p	NA	y	7.67	16.19	NA	NA	d	e
3.35	b	y	e	FALSE	e	c	w	4.82	3.46	NA	e	d	p
9.5	f	NA	n	FALSE	e	NA	w	10.61	13.19	NA	g	d	p
5.4	p	s	g	FALSE	NA	NA	g	11.27	14.25	NA	z	d	p
9.16	x	t	n	TRUE	p	NA	y	8.15	16.92	NA	p	d	e
2.74	x	d	e	FALSE	a	c	o	3.64	5.93	NA	f	m	e
7.01	x	w	p	FALSE	s	c	p	3.75	9.99	NA	f	d	p
3.11	x	h	n	FALSE	NA	NA	k	8.54	6.38	NA	NA	g	p
4.04	x	NA	r	FALSE	d	NA	r	5.67	6.93	NA	f	d	e
10.2	f	e	b	FALSE	NA	c	b	5.28	19.49	NA	f	d	e
7.52	s	NA	o	TRUE	d	NA	o	5.94	12.97	NA	f	d	p
4.01	b	t	n	FALSE	x	c	p	5.54	3.77	NA	f	g	p
NA	b	h	n	FALSE	a	NA	n	4.6	1.25	NA	f	d	p
1.66	x	NA	n	FALSE	NA	NA	n	4.96	2.6	NA	f	g	p
7.36	x	d	n	TRUE	p	NA	y	7.81	15.77	NA	f	d	e
3.15	x	d	w	FALSE	d	d	w	3.51	2.58	NA	f	g	p
13.25	x	s	w	FALSE	s	NA	p	7.42	17.53	NA	f	d	p
4.32	x	h	n	FALSE	x	c	n	4.57	5.33	NA	r	d	e
NA	x	t	o	FALSE	p	NA	n	4.89	12.48	NA	f	d	e
3.49	x	s	n	FALSE	p	NA	n	4.7	9.85	NA	f	d	e
2.39	f	t	n	FALSE	NA	NA	y	6.7	2.45	NA	f	g	p
9.66	f	d	w	FALSE	s	c	w	8.37	31.15	NA	f	m	e
3.9	b	h	n	FALSE	NA	NA	k	10.06	6.54	NA	NA	g	p
2.73	x	d	w	FALSE	a	d	p	3.42	2.44	NA	f	g	p
1.43	x	k	n	FALSE	NA	NA	n	4.2	1.68	NA	f	d	p
NA	x	s	n	FALSE	p	NA	n	6.22	13.05	NA	f	d	e
3.57	x	NA	n	FALSE	x	c	p	8.4	4.09	NA	f	l	p
2.98	x	NA	k	FALSE	a	NA	k	10	2.64	NA	f	g	p
7.15	x	t	y	TRUE	x	c	y	7.52	15.36	NA	f	d	e
6.56	f	g	o	FALSE	s	NA	n	7.08	11.28	NA	f	d	e
8.28	f	e	b	FALSE	NA	c	b	4.89	19.34	NA	f	d	e
8.1	x	d	w	FALSE	s	c	w	7.16	29.57	NA	f	m	e
7.72	x	l	w	FALSE	d	NA	w	3.55	9.58	NA	f	d	e
4.07	f	g	n	FALSE	x	d	w	4.6	2.99	NA	f	d	p
5.81	f	y	g	FALSE	s	NA	w	5.18	9.71	NA	f	d	e
7.08	x	d	y	TRUE	p	NA	r	6.19	13.22	NA	f	d	e
7.02	f	i	n	FALSE	e	c	p	4.54	11.92	NA	r	w	e
5.47	x	y	n	FALSE	e	c	p	4.93	13.51	NA	r	w	e
4.45	f	k	y	FALSE	p	NA	n	3.45	4.81	NA	f	d	p
6.93	f	y	n	FALSE	e	c	p	5.75	12.44	NA	r	w	e
NA	x	s	w	FALSE	d	d	w	3.32	5.88	NA	f	g	e
8.39	s	l	w	FALSE	d	NA	w	3.53	10.8	NA	f	g	e
10.98	x	t	n	FALSE	a	c	w	9.84	28.53	NA	f	d	p
8.02	x	t	n	FALSE	p	NA	y	6.95	12.89	NA	f	h	e
4.78	c	NA	g	FALSE	f	f	f	4.84	19.56	NA	f	d	e
7.35	x	i	y	FALSE	a	c	n	8.11	7.36	NA	z	g	p
8.78	x	NA	n	FALSE	p	NA	p	9.33	27.04	c	f	d	p
5.34	x	s	n	FALSE	s	NA	n	5.39	6.6	NA	f	d	p
NA	x	s	y	FALSE	a	c	y	6.25	6.85	NA	f	g	p
4.22	x	h	n	FALSE	NA	c	k	6.88	6.93	NA	f	d	e
8.41	f	h	r	FALSE	NA	c	w	4.78	17.06	NA	p	d	p
2.29	x	s	o	FALSE	a	NA	o	3.04	5.36	NA	f	h	p
5.69	x	y	w	FALSE	e	c	p	4.56	11.87	NA	e	g	e
0.58	x	g	e	FALSE	a	NA	w	3.51	0.91	NA	f	d	p
2.93	b	y	n	FALSE	NA	c	n	6.37	2.89	NA	f	d	e
4.1	o	NA	w	FALSE	f	f	f	5.53	29.34	NA	f	p	p
1.79	b	NA	n	FALSE	a	NA	g	4.75	1.94	NA	f	d	p
6.33	f	NA	g	FALSE	d	c	y	6.2	11.42	b	f	l	p
9.28	s	NA	o	TRUE	d	NA	o	5.17	12.75	NA	f	d	p
5.88	x	e	e	FALSE	a	NA	y	8.46	10.22	NA	z	d	p
4	f	l	y	FALSE	x	d	e	5.95	4.66	NA	f	d	p
NA	x	g	p	FALSE	a	NA	n	3.46	0.8	NA	f	d	p
4.12	x	t	n	FALSE	a	c	n	4.24	5.71	NA	z	d	p
19.33	s	s	n	FALSE	a	d	y	7.03	23.64	NA	f	d	p
2.71	x	s	g	FALSE	d	c	w	3.27	7.52	NA	f	g	p
3.64	f	NA	w	FALSE	x	c	p	8.53	4.3	NA	f	l	p
8.59	p	NA	n	FALSE	a	NA	w	7.07	14.4	NA	f	g	e
NA	s	NA	n	FALSE	d	c	w	5.4	8.95	NA	f	h	e
8.41	f	i	n	FALSE	e	c	n	4.51	12.44	NA	l	w	e
6.46	x	t	n	FALSE	s	NA	g	7.82	11.43	NA	f	d	p
6.54	x	h	g	FALSE	a	d	n	6	5.52	NA	l	d	e
1	b	g	w	FALSE	NA	NA	g	3.04	1.47	NA	f	d	e
1.59	b	h	n	FALSE	a	NA	n	5.13	1.58	NA	f	h	p
NA	f	NA	g	FALSE	d	c	y	2.32	15.42	NA	f	d	e
7.67	f	g	o	FALSE	s	NA	n	9.22	12.42	NA	f	d	e
11.18	f	NA	n	FALSE	e	NA	w	10.94	11.83	NA	g	d	p
3.04	f	y	o	FALSE	d	NA	y	3.23	5.78	NA	f	h	p
3.17	f	y	p	FALSE	e	c	w	3.75	3.28	NA	e	m	p
